filename, language, JSON, Properties, XML, PHP, YAML, Ignore, Markdown, JavaScript, SCSS, CSS, comment, blank, total
package.json, JSON, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
phpunit.xml, XML, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
public\css\app.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 1, 8
public\index.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 39, 12, 61
public\js\app.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
readme.md, Markdown, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 18, 73
resources\js\app.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 19, 8, 33
resources\js\bootstrap.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 28, 14, 56
resources\lang\en\auth.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
resources\lang\en\pagination.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
resources\lang\en\passwords.php, PHP, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
resources\lang\en\validation.php, PHP, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 30, 9, 151
resources\sass\_variables.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 3, 20
resources\sass\app.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 3, 9
resources\views\contact.blade.php, PHP, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 11
resources\views\home.blade.php, PHP, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
resources\views\layouts\app.blade.php, PHP, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
resources\views\posts\create.blade.php, PHP, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
resources\views\posts\index.blade.php, PHP, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
resources\views\posts\show.blade.php, PHP, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
routes\api.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 4, 19
routes\channels.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 10, 3, 17
routes\console.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 4, 19
routes\web.php, PHP, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 10, 4, 18
server.php, PHP, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 9, 5, 22
storage\app\.gitignore, Ignore, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
storage\app\public\.gitignore, Ignore, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
storage\framework\.gitignore, Ignore, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
storage\framework\cache\.gitignore, Ignore, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
storage\framework\cache\data\.gitignore, Ignore, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
storage\framework\sessions\.gitignore, Ignore, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
storage\framework\testing\.gitignore, Ignore, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
storage\framework\views\.gitignore, Ignore, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
storage\logs\.gitignore, Ignore, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
tests\CreatesApplication.php, PHP, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 6, 23
tests\Feature\ExampleTest.php, PHP, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 5, 22
tests\TestCase.php, PHP, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
tests\Unit\ExampleTest.php, PHP, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 4, 20
vendor\sebastian\diff\tests\fixtures\out\.editorconfig, Properties, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
vendor\sebastian\diff\tests\fixtures\out\.gitignore, Ignore, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
webpack.mix.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 10, 3, 16
Total, -, 4755, 18, 32, 1350, 13, 31, 55, 25, 17, 2, 1327, 585, 8210
